Ranking,CompanyName,TaxPaid,Link,Industry,Type,TotalProfit,MarketCap,TotalRevenue,Full Earnings,Full Revenue
43,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT VÀ DỊCH VỤ TỔNG HỢP ĐỒNG NAI,"2600,60",https://cafef.vn/du-lieu//otc/XSDONGNAI-cong-ty-tnhh-mtv-xo-so-kien-thiet-va-dich-vu-tong-hop-dong-nai.chn,Xổ số,SOE,,,0,False,False
44,Tổng Công ty Cấp nước Sài Gòn,2570,https://cafef.vn/du-lieu//otc/SAWACO-tong-cong-ty-cap-nuoc-sai-gon.chn,Cấp thoát nước,SOE,,,0,False,False
45,Công ty Cổ phần Tập đoàn BIM,"2553,77",https://cafef.vn/du-lieu//otc/BIMGROUP-cong-ty-co-phan-tap-doan-bim.chn,"Bất động sản, Điện năng",Private,,,0,False,False
46,Cty TNHH Ford Việt Nam,2471,https://cafef.vn/du-lieu//otc/FORDVN-cty-tnhh-ford-viet-nam.chn,Ô tô,Foreign,,,0,False,False
47,Ngân hàng TMCP Tiên Phong,"2418,70",https://cafef.vn/du-lieu//hose/TPB-ngan-hang-tmcp-tien-phong.chn,Ngân hàng,Private,,"36194,80",0,False,False
48,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT LONG AN,"2364,20",https://cafef.vn/du-lieu//otc/XSLA-cong-ty-tnhh-mtv-xo-so-kien-thiet-long-an.chn,Xổ số,SOE,,,0,False,False
49,Công ty TNHH Xổ số kiến thiết tỉnh Tây Ninh,"2345,20",https://cafef.vn/du-lieu//otc/XSTN-cong-ty-tnhh-xo-so-kien-thiet-tinh-tay-ninh.chn,Xổ số,SOE,,,0,False,False
50,Sở Giao dịch Chứng khoán Việt Nam,2300,https://cafef.vn/du-lieu//otc/VNEX-so-giao-dich-chung-khoan-viet-nam.chn,Tài chính,SOE,,,0,False,False
51,CTCP Tập đoàn Vàng bạc đá quý Doji,"2233,10",https://cafef.vn/du-lieu//otc/DOJI-ctcp-tap-doan-vang-bac-da-quy-doji.chn,"Bán lẻ, Bất động sản",Private,,,0,False,False
52,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH ĐỒNG THÁP,"2219,45",https://cafef.vn/du-lieu//otc/XSDT-cong-ty-tnhh-mtv-xo-so-kien-thiet-tinh-dong-thap.chn,Xổ số,SOE,,,0,False,False
53,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BÌNH DƯƠNG,"2209,20",https://cafef.vn/du-lieu//otc/XSBINHDUONG-cong-ty-tnhh-mtv-xo-so-kien-thiet-binh-duong.chn,Xổ số,SOE,,,0,False,False
54,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT KIÊN GIANG,2194,https://cafef.vn/du-lieu//otc/XSKG-cong-ty-tnhh-mtv-xo-so-kien-thiet-kien-giang.chn,Xổ số,SOE,,,0,False,False
55,Ngân hàng TMCP Sài Gòn Thương Tín,"2176,95",https://cafef.vn/du-lieu//hose/STB-ngan-hang-tmcp-sai-gon-thuong-tin.chn,Ngân hàng,Private,,"75408,63",0,False,False
56,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH BÀ RỊA - VŨNG TÀU,"2169,30",https://cafef.vn/du-lieu//otc/XSBRVT-cong-ty-tnhh-mtv-xo-so-kien-thiet-tinh-ba-ria-vung-tau.chn,Xổ số,SOE,,,0,False,False
